--------------------------------------
| rollout/                |          |
|    ep_len_mean          | 22.1     |
|    ep_reward_mean       | 0.28     |
|    mimic_body_reward    | 0.013    |
|    mimic_body_vel_re... | 4.11e-05 |
|    mimic_ee_reward      | 8.57e-05 |
|    mimic_qpos_reward    | 0.000157 |
|    mimic_qvel_reward    | 3.67e-48 |
| time/                   |          |
|    fps                  | 184      |
|    iterations           | 1        |
|    time_elapsed         | 22       |
|    total_timesteps      | 4096     |
--------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 21.8          |
|    ep_reward_mean       | 0.293         |
|    mimic_body_reward    | 0.00905       |
|    mimic_body_vel_re... | 0.000149      |
|    mimic_ee_reward      | 0.000276      |
|    mimic_qpos_reward    | 0.000851      |
|    mimic_qvel_reward    | 4.83e-51      |
| time/                   |               |
|    fps                  | 180           |
|    iterations           | 2             |
|    time_elapsed         | 45            |
|    total_timesteps      | 8192          |
| train/                  |               |
|    approx_kl            | 0.00030162837 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -43           |
|    explained_variance   | 0.0166        |
|    learning_rate        | 5e-06         |
|    loss                 | 0.0763        |
|    n_updates            | 10            |
|    policy_gradient_loss | -0.00325      |
|    std                  | 1.57          |
|    value_loss           | 0.237         |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 21.8          |
|    ep_reward_mean       | 0.306         |
|    mimic_body_reward    | 0.0114        |
|    mimic_body_vel_re... | 0.000114      |
|    mimic_ee_reward      | 0.000426      |
|    mimic_qpos_reward    | 0.000257      |
|    mimic_qvel_reward    | 7.73e-36      |
| time/                   |               |
|    fps                  | 177           |
|    iterations           | 3             |
|    time_elapsed         | 69            |
|    total_timesteps      | 12288         |
| train/                  |               |
|    approx_kl            | 0.00037326477 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -43           |
|    explained_variance   | 0.033         |
|    learning_rate        | 5e-06         |
|    loss                 | 0.0406        |
|    n_updates            | 20            |
|    policy_gradient_loss | -0.00341      |
|    std                  | 1.57          |
|    value_loss           | 0.133         |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 20.3          |
|    ep_reward_mean       | 0.257         |
|    mimic_body_reward    | 0.0112        |
|    mimic_body_vel_re... | 0.000208      |
|    mimic_ee_reward      | 0.000109      |
|    mimic_qpos_reward    | 0.00046       |
|    mimic_qvel_reward    | 5.45e-53      |
| time/                   |               |
|    fps                  | 178           |
|    iterations           | 4             |
|    time_elapsed         | 92            |
|    total_timesteps      | 16384         |
| train/                  |               |
|    approx_kl            | 0.00018483121 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -43           |
|    explained_variance   | -0.0401       |
|    learning_rate        | 5e-06         |
|    loss                 | 0.0404        |
|    n_updates            | 30            |
|    policy_gradient_loss | -0.00357      |
|    std                  | 1.57          |
|    value_loss           | 0.106         |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 21            |
|    ep_reward_mean       | 0.322         |
|    mimic_body_reward    | 0.00464       |
|    mimic_body_vel_re... | 0.000636      |
|    mimic_ee_reward      | 1.55e-05      |
|    mimic_qpos_reward    | 0.000725      |
|    mimic_qvel_reward    | 1.59e-45      |
| time/                   |               |
|    fps                  | 178           |
|    iterations           | 5             |
|    time_elapsed         | 114           |
|    total_timesteps      | 20480         |
| train/                  |               |
|    approx_kl            | 0.00012521353 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -43           |
|    explained_variance   | 0.0119        |
|    learning_rate        | 5e-06         |
|    loss                 | 0.0294        |
|    n_updates            | 40            |
|    policy_gradient_loss | -0.00331      |
|    std                  | 1.57          |
|    value_loss           | 0.0861        |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 21.6          |
|    ep_reward_mean       | 0.293         |
|    mimic_body_reward    | 0.0135        |
|    mimic_body_vel_re... | 1.7e-05       |
|    mimic_ee_reward      | 0.00062       |
|    mimic_qpos_reward    | 0.00162       |
|    mimic_qvel_reward    | 2.26e-48      |
| time/                   |               |
|    fps                  | 178           |
|    iterations           | 6             |
|    time_elapsed         | 137           |
|    total_timesteps      | 24576         |
| train/                  |               |
|    approx_kl            | 0.00012968574 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -43           |
|    explained_variance   | -0.0104       |
|    learning_rate        | 5e-06         |
|    loss                 | 0.0309        |
|    n_updates            | 50            |
|    policy_gradient_loss | -0.00324      |
|    std                  | 1.57          |
|    value_loss           | 0.0846        |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 22.2          |
|    ep_reward_mean       | 0.317         |
|    mimic_body_reward    | 0.00914       |
|    mimic_body_vel_re... | 1.03e-05      |
|    mimic_ee_reward      | 1.44e-05      |
|    mimic_qpos_reward    | 0.000136      |
|    mimic_qvel_reward    | 6.58e-47      |
| time/                   |               |
|    fps                  | 179           |
|    iterations           | 7             |
|    time_elapsed         | 159           |
|    total_timesteps      | 28672         |
| train/                  |               |
|    approx_kl            | 0.00054015405 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -43           |
|    explained_variance   | -0.0064       |
|    learning_rate        | 5e-06         |
|    loss                 | 0.0233        |
|    n_updates            | 60            |
|    policy_gradient_loss | -0.0034       |
|    std                  | 1.57          |
|    value_loss           | 0.0711        |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 20.7          |
|    ep_reward_mean       | 0.3           |
|    mimic_body_reward    | 0.0147        |
|    mimic_body_vel_re... | 1.1e-05       |
|    mimic_ee_reward      | 0.000136      |
|    mimic_qpos_reward    | 0.000292      |
|    mimic_qvel_reward    | 1.36e-48      |
| time/                   |               |
|    fps                  | 179           |
|    iterations           | 8             |
|    time_elapsed         | 182           |
|    total_timesteps      | 32768         |
| train/                  |               |
|    approx_kl            | 0.00027242955 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -43           |
|    explained_variance   | -0.0229       |
|    learning_rate        | 5e-06         |
|    loss                 | 0.0269        |
|    n_updates            | 70            |
|    policy_gradient_loss | -0.00351      |
|    std                  | 1.57          |
|    value_loss           | 0.0718        |
-------------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 22.3       |
|    ep_reward_mean       | 0.369      |
|    mimic_body_reward    | 0.0103     |
|    mimic_body_vel_re... | 0.000802   |
|    mimic_ee_reward      | 2.89e-05   |
|    mimic_qpos_reward    | 0.000101   |
|    mimic_qvel_reward    | 1.58e-32   |
| time/                   |            |
|    fps                  | 179        |
|    iterations           | 9          |
|    time_elapsed         | 205        |
|    total_timesteps      | 36864      |
| train/                  |            |
|    approx_kl            | 0.00018638 |
|    clip_fraction        | 0          |
|    clip_range           | 0.2        |
|    entropy_loss         | -43        |
|    explained_variance   | -0.0113    |
|    learning_rate        | 5e-06      |
|    loss                 | 0.0211     |
|    n_updates            | 80         |
|    policy_gradient_loss | -0.00343   |
|    std                  | 1.57       |
|    value_loss           | 0.0652     |
----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 21.4         |
|    ep_reward_mean       | 0.324        |
|    mimic_body_reward    | 0.012        |
|    mimic_body_vel_re... | 0.000457     |
|    mimic_ee_reward      | 4.01e-05     |
|    mimic_qpos_reward    | 9.47e-05     |
|    mimic_qvel_reward    | 6.87e-48     |
| time/                   |              |
|    fps                  | 179          |
|    iterations           | 10           |
|    time_elapsed         | 227          |
|    total_timesteps      | 40960        |
| train/                  |              |
|    approx_kl            | 0.0005298117 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -43          |
|    explained_variance   | -0.034       |
|    learning_rate        | 5e-06        |
|    loss                 | 0.0194       |
|    n_updates            | 90           |
|    policy_gradient_loss | -0.00362     |
