--------------------------------------
| rollout/                |          |
|    ep_len_mean          | 22.3     |
|    ep_reward_mean       | 0.232    |
|    mimic_body_reward    | 0.000498 |
|    mimic_body_vel_re... | 0.000671 |
|    mimic_ee_reward      | 1.23e-07 |
|    mimic_qpos_reward    | 0.00036  |
|    mimic_qvel_reward    | 3.87e-38 |
| time/                   |          |
|    fps                  | 185      |
|    iterations           | 1        |
|    time_elapsed         | 22       |
|    total_timesteps      | 4096     |
--------------------------------------
--------------------------------------------
| rollout/                |                |
|    ep_len_mean          | 23.5           |
|    ep_reward_mean       | 0.275          |
|    mimic_body_reward    | 0.0123         |
|    mimic_body_vel_re... | 8.99e-06       |
|    mimic_ee_reward      | 0.0006         |
|    mimic_qpos_reward    | 0.000578       |
|    mimic_qvel_reward    | 3.53e-41       |
| time/                   |                |
|    fps                  | 182            |
|    iterations           | 2              |
|    time_elapsed         | 44             |
|    total_timesteps      | 8192           |
| train/                  |                |
|    approx_kl            | -0.00029170886 |
|    clip_fraction        | 0              |
|    clip_range           | 0.2            |
|    entropy_loss         | -43            |
|    explained_variance   | 0.0262         |
|    learning_rate        | 5e-06          |
|    loss                 | 0.0607         |
|    n_updates            | 10             |
|    policy_gradient_loss | -0.00379       |
|    std                  | 1.57           |
|    value_loss           | 0.203          |
--------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 21.6          |
|    ep_reward_mean       | 0.272         |
|    mimic_body_reward    | 0.00996       |
|    mimic_body_vel_re... | 0.000193      |
|    mimic_ee_reward      | 3.69e-07      |
|    mimic_qpos_reward    | 0.000161      |
|    mimic_qvel_reward    | 4.38e-51      |
| time/                   |               |
|    fps                  | 183           |
|    iterations           | 3             |
|    time_elapsed         | 67            |
|    total_timesteps      | 12288         |
| train/                  |               |
|    approx_kl            | 0.00028506573 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -43           |
|    explained_variance   | 0.00883       |
|    learning_rate        | 5e-06         |
|    loss                 | 0.0444        |
|    n_updates            | 20            |
|    policy_gradient_loss | -0.00309      |
|    std                  | 1.57          |
|    value_loss           | 0.125         |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 20.6          |
|    ep_reward_mean       | 0.298         |
|    mimic_body_reward    | 0.0106        |
|    mimic_body_vel_re... | 0.00209       |
|    mimic_ee_reward      | 0.000147      |
|    mimic_qpos_reward    | 0.000102      |
|    mimic_qvel_reward    | 3.42e-49      |
| time/                   |               |
|    fps                  | 183           |
|    iterations           | 4             |
|    time_elapsed         | 89            |
|    total_timesteps      | 16384         |
| train/                  |               |
|    approx_kl            | 0.00024794322 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -43           |
|    explained_variance   | 0.0209        |
|    learning_rate        | 5e-06         |
|    loss                 | 0.0353        |
|    n_updates            | 30            |
|    policy_gradient_loss | -0.00326      |
|    std                  | 1.57          |
|    value_loss           | 0.104         |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
