--------------------------------------
| rollout/                |          |
|    ep_len_mean          | 22.1     |
|    ep_reward_mean       | 0.62     |
|    mimic_body_reward    | 0.0107   |
|    mimic_body_vel_re... | 0.000648 |
|    mimic_ee_reward      | 0.000918 |
|    mimic_qpos_reward    | 0.00473  |
|    mimic_qvel_reward    | 1.63e-11 |
| time/                   |          |
|    fps                  | 194      |
|    iterations           | 1        |
|    time_elapsed         | 21       |
|    total_timesteps      | 4096     |
--------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 22.5       |
|    ep_reward_mean       | 0.606      |
|    mimic_body_reward    | 0.0214     |
|    mimic_body_vel_re... | 0.000691   |
|    mimic_ee_reward      | 0.000636   |
|    mimic_qpos_reward    | 0.0043     |
|    mimic_qvel_reward    | 2.24e-12   |
| time/                   |            |
|    fps                  | 193        |
|    iterations           | 2          |
|    time_elapsed         | 42         |
|    total_timesteps      | 8192       |
| train/                  |            |
|    approx_kl            | 0.03832004 |
|    clip_fraction        | 0.398      |
|    clip_range           | 0.2        |
|    entropy_loss         | 73.3       |
|    explained_variance   | 0.39       |
|    learning_rate        | 5e-06      |
|    loss                 | -0.00232   |
|    n_updates            | 10         |
|    policy_gradient_loss | -0.0446    |
|    std                  | 0.01       |
|    value_loss           | 0.204      |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 22.7        |
|    ep_reward_mean       | 0.579       |
|    mimic_body_reward    | 0.0212      |
|    mimic_body_vel_re... | 0.000697    |
|    mimic_ee_reward      | 0.002       |
|    mimic_qpos_reward    | 0.00957     |
|    mimic_qvel_reward    | 3.29e-11    |
| time/                   |             |
|    fps                  | 192         |
|    iterations           | 3           |
|    time_elapsed         | 63          |
|    total_timesteps      | 12288       |
| train/                  |             |
|    approx_kl            | 0.056057505 |
|    clip_fraction        | 0.37        |
|    clip_range           | 0.2         |
|    entropy_loss         | 73.3        |
|    explained_variance   | 0.256       |
|    learning_rate        | 5e-06       |
|    loss                 | -0.0113     |
|    n_updates            | 20          |
|    policy_gradient_loss | -0.0431     |
|    std                  | 0.01        |
|    value_loss           | 0.125       |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 22.2       |
|    ep_reward_mean       | 0.585      |
|    mimic_body_reward    | 0.0168     |
|    mimic_body_vel_re... | 0.00146    |
|    mimic_ee_reward      | 0.00186    |
|    mimic_qpos_reward    | 0.00899    |
|    mimic_qvel_reward    | 1.88e-11   |
| time/                   |            |
|    fps                  | 192        |
|    iterations           | 4          |
|    time_elapsed         | 85         |
|    total_timesteps      | 16384      |
| train/                  |            |
