--------------------------------------
| rollout/                |          |
|    ep_len_mean          | 21.5     |
|    ep_reward_mean       | 3.21     |
|    mimic_body_reward    | 0.0645   |
|    mimic_body_vel_re... | 0.0138   |
|    mimic_contact_reward | 0.028    |
|    mimic_ee_reward      | 0.00631  |
|    mimic_qpos_reward    | 0.0424   |
|    mimic_qvel_reward    | 0        |
| time/                   |          |
|    fps                  | 370      |
|    iterations           | 1        |
|    time_elapsed         | 11       |
|    total_timesteps      | 4096     |
--------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 21.3      |
|    ep_reward_mean       | 3.32      |
|    mimic_body_reward    | 0.0637    |
|    mimic_body_vel_re... | 0.013     |
|    mimic_contact_reward | 0.038     |
|    mimic_ee_reward      | 0.00905   |
|    mimic_qpos_reward    | 0.0521    |
|    mimic_qvel_reward    | 0         |
| time/                   |           |
|    fps                  | 340       |
|    iterations           | 2         |
|    time_elapsed         | 24        |
|    total_timesteps      | 8192      |
| train/                  |           |
|    approx_kl            | 7.9034414 |
|    clip_fraction        | 0.976     |
|    clip_range           | 0.2       |
|    entropy_loss         | 57.3      |
|    explained_variance   | -3.01     |
|    learning_rate        | 0.0001    |
|    loss                 | 0.348     |
|    n_updates            | 3         |
|    policy_gradient_loss | 0.446     |
|    std                  | 0.02      |
|    value_loss           | 0.439     |
---------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 22.5      |
|    ep_reward_mean       | 3.47      |
|    mimic_body_reward    | 0.0575    |
|    mimic_body_vel_re... | 0.00447   |
|    mimic_contact_reward | 0.03      |
|    mimic_ee_reward      | 0.00522   |
|    mimic_qpos_reward    | 0.0536    |
|    mimic_qvel_reward    | 0         |
| time/                   |           |
|    fps                  | 329       |
|    iterations           | 3         |
|    time_elapsed         | 37        |
|    total_timesteps      | 12288     |
| train/                  |           |
|    approx_kl            | 10.180099 |
|    clip_fraction        | 0.961     |
|    clip_range           | 0.2       |
|    entropy_loss         | 57.3      |
|    explained_variance   | 0.341     |
|    learning_rate        | 0.0001    |
|    loss                 | 0.166     |
|    n_updates            | 6         |
|    policy_gradient_loss | 0.257     |
|    std                  | 0.02      |
|    value_loss           | 0.256     |
---------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 20.7      |
|    ep_reward_mean       | 3.34      |
|    mimic_body_reward    | 0.0451    |
|    mimic_body_vel_re... | 0.0152    |
|    mimic_contact_reward | 0.036     |
|    mimic_ee_reward      | 0.00288   |
|    mimic_qpos_reward    | 0.0226    |
|    mimic_qvel_reward    | 0         |
| time/                   |           |
|    fps                  | 323       |
|    iterations           | 4         |
|    time_elapsed         | 50        |
|    total_timesteps      | 16384     |
| train/                  |           |
|    approx_kl            | 7.5737386 |
|    clip_fraction        | 0.964     |
|    clip_range           | 0.2       |
|    entropy_loss         | 57.3      |
|    explained_variance   | 0.817     |
|    learning_rate        | 0.0001    |
|    loss                 | 0.304     |
|    n_updates            | 9         |
|    policy_gradient_loss | 0.411     |
|    std                  | 0.02      |
|    value_loss           | 0.165     |
---------------------------------------
--------------------------------------
| rollout/                |          |
|    ep_len_mean          | 20.8     |
|    ep_reward_mean       | 3.3      |
|    mimic_body_reward    | 0.0501   |
|    mimic_body_vel_re... | 0.0138   |
|    mimic_contact_reward | 0.03     |
|    mimic_ee_reward      | 0.00516  |
|    mimic_qpos_reward    | 0.038    |
|    mimic_qvel_reward    | 0        |
| time/                   |          |
|    fps                  | 319      |
|    iterations           | 5        |
|    time_elapsed         | 64       |
|    total_timesteps      | 20480    |
| train/                  |          |
|    approx_kl            | 13.88927 |
|    clip_fraction        | 0.96     |
|    clip_range           | 0.2      |
|    entropy_loss         | 57.3     |
|    explained_variance   | 0.791    |
|    learning_rate        | 0.0001   |
|    loss                 | 0.34     |
|    n_updates            | 12       |
|    policy_gradient_loss | 0.292    |
|    std                  | 0.02     |
|    value_loss           | 0.191    |
--------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 22.5      |
|    ep_reward_mean       | 3.69      |
|    mimic_body_reward    | 0.0519    |
|    mimic_body_vel_re... | 0.00421   |
|    mimic_contact_reward | 0.018     |
|    mimic_ee_reward      | 0.00645   |
|    mimic_qpos_reward    | 0.0533    |
|    mimic_qvel_reward    | 0         |
| time/                   |           |
|    fps                  | 315       |
|    iterations           | 6         |
|    time_elapsed         | 78        |
|    total_timesteps      | 24576     |
| train/                  |           |
|    approx_kl            | 10.300392 |
|    clip_fraction        | 0.962     |
|    clip_range           | 0.2       |
|    entropy_loss         | 57.3      |
|    explained_variance   | 0.853     |
|    learning_rate        | 0.0001    |
|    loss                 | 0.265     |
|    n_updates            | 15        |
|    policy_gradient_loss | 0.297     |
|    std                  | 0.02      |
|    value_loss           | 0.164     |
---------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 20.7      |
|    ep_reward_mean       | 3.22      |
|    mimic_body_reward    | 0.0467    |
|    mimic_body_vel_re... | 0.0107    |
|    mimic_contact_reward | 0.036     |
|    mimic_ee_reward      | 0.00596   |
