--------------------------------------
| rollout/                |          |
|    ep_len_mean          | 22.1     |
|    ep_reward_mean       | 7.48     |
|    mimic_body_reward    | 0.0761   |
|    mimic_body_vel_re... | 0.00892  |
|    mimic_contact_reward | 0.038    |
|    mimic_ee_reward      | 0.0186   |
|    mimic_qpos_reward    | 0.194    |
|    mimic_qvel_reward    | 0        |
| time/                   |          |
|    fps                  | 375      |
|    iterations           | 1        |
|    time_elapsed         | 10       |
|    total_timesteps      | 4096     |
--------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 21.9        |
|    ep_reward_mean       | 7.3         |
|    mimic_body_reward    | 0.0894      |
|    mimic_body_vel_re... | 0.0139      |
|    mimic_contact_reward | 0.056       |
|    mimic_ee_reward      | 0.0158      |
|    mimic_qpos_reward    | 0.198       |
|    mimic_qvel_reward    | 0           |
| time/                   |             |
|    fps                  | 372         |
|    iterations           | 2           |
|    time_elapsed         | 22          |
|    total_timesteps      | 8192        |
| train/                  |             |
|    approx_kl            | 0.006494589 |
|    clip_fraction        | 0.0198      |
|    clip_range           | 0.2         |
|    entropy_loss         | 4.38        |
|    explained_variance   | -1.45e+05   |
|    learning_rate        | 1e-05       |
|    loss                 | 3.12        |
|    n_updates            | 3           |
|    policy_gradient_loss | -0.00695    |
|    std                  | 0.2         |
|    value_loss           | 6.24        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 21.9        |
|    ep_reward_mean       | 7.33        |
|    mimic_body_reward    | 0.0899      |
|    mimic_body_vel_re... | 0.00827     |
|    mimic_contact_reward | 0.048       |
|    mimic_ee_reward      | 0.0148      |
|    mimic_qpos_reward    | 0.191       |
|    mimic_qvel_reward    | 0           |
| time/                   |             |
|    fps                  | 367         |
|    iterations           | 3           |
|    time_elapsed         | 33          |
|    total_timesteps      | 12288       |
| train/                  |             |
|    approx_kl            | 0.007923789 |
|    clip_fraction        | 0.0201      |
|    clip_range           | 0.2         |
|    entropy_loss         | 4.38        |
|    explained_variance   | -8.19e+04   |
|    learning_rate        | 1e-05       |
|    loss                 | 3.73        |
|    n_updates            | 6           |
|    policy_gradient_loss | -0.00671    |
|    std                  | 0.2         |
|    value_loss           | 6.05        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 22           |
|    ep_reward_mean       | 7.47         |
|    mimic_body_reward    | 0.0848       |
|    mimic_body_vel_re... | 0.0122       |
|    mimic_contact_reward | 0.048        |
|    mimic_ee_reward      | 0.0125       |
|    mimic_qpos_reward    | 0.184        |
|    mimic_qvel_reward    | 0            |
| time/                   |              |
|    fps                  | 362          |
|    iterations           | 4            |
|    time_elapsed         | 45           |
|    total_timesteps      | 16384        |
| train/                  |              |
|    approx_kl            | 0.0068627396 |
|    clip_fraction        | 0.00472      |
|    clip_range           | 0.2          |
|    entropy_loss         | 4.38         |
|    explained_variance   | -2.13e+04    |
|    learning_rate        | 1e-05        |
|    loss                 | 2.96         |
|    n_updates            | 9            |
|    policy_gradient_loss | -0.00518     |
|    std                  | 0.2          |
|    value_loss           | 5.9          |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 22.7        |
|    ep_reward_mean       | 7.74        |
|    mimic_body_reward    | 0.0587      |
|    mimic_body_vel_re... | 0.00388     |
|    mimic_contact_reward | 0.042       |
|    mimic_ee_reward      | 0.0135      |
|    mimic_qpos_reward    | 0.171       |
|    mimic_qvel_reward    | 0           |
| time/                   |             |
|    fps                  | 358         |
|    iterations           | 5           |
|    time_elapsed         | 57          |
|    total_timesteps      | 20480       |
| train/                  |             |
|    approx_kl            | 0.004991032 |
|    clip_fraction        | 0.0096      |
|    clip_range           | 0.2         |
|    entropy_loss         | 4.38        |
|    explained_variance   | -9.45e+03   |
|    learning_rate        | 1e-05       |
|    loss                 | 2.72        |
|    n_updates            | 12          |
|    policy_gradient_loss | -0.00615    |
|    std                  | 0.2         |
|    value_loss           | 5.95        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 23.3         |
|    ep_reward_mean       | 7.93         |
|    mimic_body_reward    | 0.0341       |
|    mimic_body_vel_re... | 0.00594      |
|    mimic_contact_reward | 0.026        |
|    mimic_ee_reward      | 0.00907      |
|    mimic_qpos_reward    | 0.167        |
|    mimic_qvel_reward    | 0            |
| time/                   |              |
|    fps                  | 359          |
|    iterations           | 6            |
|    time_elapsed         | 68           |
|    total_timesteps      | 24576        |
| train/                  |              |
|    approx_kl            | 0.0025260402 |
|    clip_fraction        | 0.00985      |
|    clip_range           | 0.2          |
|    entropy_loss         | 4.38         |
|    explained_variance   | -5.36e+03    |
|    learning_rate        | 1e-05        |
|    loss                 | 2.71         |
|    n_updates            | 15           |
|    policy_gradient_loss | -0.00627     |
|    std                  | 0.2          |
|    value_loss           | 6.08         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 23.9         |
|    ep_reward_mean       | 7.78         |
|    mimic_body_reward    | 0.0669       |
|    mimic_body_vel_re... | 0.0148       |
|    mimic_contact_reward | 0.056        |
|    mimic_ee_reward      | 0.0097       |
|    mimic_qpos_reward    | 0.173        |
|    mimic_qvel_reward    | 0            |
| time/                   |              |
|    fps                  | 359          |
|    iterations           | 7            |
|    time_elapsed         | 79           |
|    total_timesteps      | 28672        |
| train/                  |              |
|    approx_kl            | 0.0066761165 |
|    clip_fraction        | 0.00757      |
|    clip_range           | 0.2          |
|    entropy_loss         | 4.38         |
|    explained_variance   | -3.34e+03    |
|    learning_rate        | 1e-05        |
|    loss                 | 3.13         |
|    n_updates            | 18           |
|    policy_gradient_loss | -0.00509     |
|    std                  | 0.2          |
|    value_loss           | 6.14         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 22.4        |
|    ep_reward_mean       | 7.62        |
|    mimic_body_reward    | 0.0657      |
|    mimic_body_vel_re... | 0.00886     |
|    mimic_contact_reward | 0.044       |
|    mimic_ee_reward      | 0.00739     |
|    mimic_qpos_reward    | 0.164       |
|    mimic_qvel_reward    | 0           |
| time/                   |             |
|    fps                  | 354         |
|    iterations           | 8           |
|    time_elapsed         | 92          |
|    total_timesteps      | 32768       |
| train/                  |             |
|    approx_kl            | 0.004431716 |
|    clip_fraction        | 0.0133      |
|    clip_range           | 0.2         |
|    entropy_loss         | 4.38        |
|    explained_variance   | -1.98e+03   |
|    learning_rate        | 1e-05       |
|    loss                 | 2.48        |
|    n_updates            | 21          |
|    policy_gradient_loss | -0.00571    |
|    std                  | 0.2         |
|    value_loss           | 5.92        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 23.1        |
|    ep_reward_mean       | 7.67        |
|    mimic_body_reward    | 0.0688      |
|    mimic_body_vel_re... | 0.00912     |
|    mimic_contact_reward | 0.036       |
|    mimic_ee_reward      | 0.0147      |
|    mimic_qpos_reward    | 0.188       |
|    mimic_qvel_reward    | 0           |
| time/                   |             |
|    fps                  | 353         |
|    iterations           | 9           |
|    time_elapsed         | 104         |
|    total_timesteps      | 36864       |
| train/                  |             |
|    approx_kl            | 0.003676668 |
|    clip_fraction        | 0.00195     |
|    clip_range           | 0.2         |
|    entropy_loss         | 4.38        |
|    explained_variance   | -1.33e+03   |
|    learning_rate        | 1e-05       |
|    loss                 | 2.9         |
|    n_updates            | 24          |
|    policy_gradient_loss | -0.00415    |
|    std                  | 0.2         |
|    value_loss           | 6.11        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 22.9        |
|    ep_reward_mean       | 7.43        |
|    mimic_body_reward    | 0.0598      |
|    mimic_body_vel_re... | 0.00833     |
|    mimic_contact_reward | 0.032       |
|    mimic_ee_reward      | 0.0129      |
|    mimic_qpos_reward    | 0.176       |
|    mimic_qvel_reward    | 0           |
| time/                   |             |
|    fps                  | 355         |
|    iterations           | 10          |
|    time_elapsed         | 115         |
|    total_timesteps      | 40960       |
| train/                  |             |
|    approx_kl            | 0.008612001 |
|    clip_fraction        | 0.019       |
|    clip_range           | 0.2         |
|    entropy_loss         | 4.38        |
|    explained_variance   | -816        |
|    learning_rate        | 1e-05       |
|    loss                 | 2.78        |
|    n_updates            | 27          |
|    policy_gradient_loss | -0.00686    |
|    std                  | 0.2         |
|    value_loss           | 5.55        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 23.6        |
|    ep_reward_mean       | 8.01        |
|    mimic_body_reward    | 0.0479      |
|    mimic_body_vel_re... | 0.00509     |
|    mimic_contact_reward | 0.05        |
|    mimic_ee_reward      | 0.00814     |
|    mimic_qpos_reward    | 0.155       |
|    mimic_qvel_reward    | 0           |
| time/                   |             |
|    fps                  | 356         |
|    iterations           | 11          |
|    time_elapsed         | 126         |
|    total_timesteps      | 45056       |
| train/                  |             |
|    approx_kl            | 0.005716881 |
|    clip_fraction        | 0.0103      |
|    clip_range           | 0.2         |
|    entropy_loss         | 4.38        |
|    explained_variance   | -565        |
|    learning_rate        | 1e-05       |
|    loss                 | 2.75        |
|    n_updates            | 30          |
|    policy_gradient_loss | -0.00609    |
|    std                  | 0.2         |
|    value_loss           | 5.44        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 23.5         |
|    ep_reward_mean       | 8.02         |
|    mimic_body_reward    | 0.0726       |
|    mimic_body_vel_re... | 0.00854      |
|    mimic_contact_reward | 0.054        |
|    mimic_ee_reward      | 0.0136       |
|    mimic_qpos_reward    | 0.181        |
|    mimic_qvel_reward    | 0            |
| time/                   |              |
|    fps                  | 357          |
|    iterations           | 12           |
|    time_elapsed         | 137          |
|    total_timesteps      | 49152        |
| train/                  |              |
|    approx_kl            | 0.0051972996 |
|    clip_fraction        | 0.00285      |
|    clip_range           | 0.2          |
|    entropy_loss         | 4.38         |
|    explained_variance   | -443         |
|    learning_rate        | 1e-05        |
|    loss                 | 2.82         |
|    n_updates            | 33           |
|    policy_gradient_loss | -0.00453     |
|    std                  | 0.2          |
|    value_loss           | 5.79         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 24          |
|    ep_reward_mean       | 7.86        |
|    mimic_body_reward    | 0.0396      |
|    mimic_body_vel_re... | 0.00327     |
|    mimic_contact_reward | 0.018       |
|    mimic_ee_reward      | 0.0117      |
|    mimic_qpos_reward    | 0.176       |
|    mimic_qvel_reward    | 0           |
| time/                   |             |
|    fps                  | 359         |
|    iterations           | 13          |
|    time_elapsed         | 148         |
|    total_timesteps      | 53248       |
| train/                  |             |
|    approx_kl            | 0.005008299 |
|    clip_fraction        | 0.00618     |
|    clip_range           | 0.2         |
|    entropy_loss         | 4.38        |
|    explained_variance   | -344        |
|    learning_rate        | 1e-05       |
|    loss                 | 2.5         |
|    n_updates            | 36          |
|    policy_gradient_loss | -0.00552    |
|    std                  | 0.2         |
|    value_loss           | 5.84        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 23.8         |
|    ep_reward_mean       | 7.94         |
|    mimic_body_reward    | 0.0968       |
|    mimic_body_vel_re... | 0.0155       |
|    mimic_contact_reward | 0.064        |
|    mimic_ee_reward      | 0.0137       |
|    mimic_qpos_reward    | 0.191        |
|    mimic_qvel_reward    | 0            |
| time/                   |              |
|    fps                  | 360          |
|    iterations           | 14           |
|    time_elapsed         | 159          |
|    total_timesteps      | 57344        |
| train/                  |              |
|    approx_kl            | 0.0065501123 |
|    clip_fraction        | 0.00895      |
|    clip_range           | 0.2          |
|    entropy_loss         | 4.38         |
|    explained_variance   | -242         |
|    learning_rate        | 1e-05        |
|    loss                 | 2.52         |
|    n_updates            | 39           |
|    policy_gradient_loss | -0.00554     |
|    std                  | 0.2          |
|    value_loss           | 5.28         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 25.2        |
|    ep_reward_mean       | 8.21        |
|    mimic_body_reward    | 0.0763      |
|    mimic_body_vel_re... | 0.0109      |
|    mimic_contact_reward | 0.046       |
|    mimic_ee_reward      | 0.0126      |
|    mimic_qpos_reward    | 0.178       |
|    mimic_qvel_reward    | 0           |
| time/                   |             |
|    fps                  | 361         |
|    iterations           | 15          |
|    time_elapsed         | 170         |
|    total_timesteps      | 61440       |
| train/                  |             |
|    approx_kl            | 0.006134116 |
|    clip_fraction        | 0.00944     |
|    clip_range           | 0.2         |
|    entropy_loss         | 4.38        |
|    explained_variance   | -198        |
|    learning_rate        | 1e-05       |
|    loss                 | 2.62        |
|    n_updates            | 42          |
|    policy_gradient_loss | -0.00639    |
|    std                  | 0.2         |
|    value_loss           | 5.53        |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 24.7       |
|    ep_reward_mean       | 8.12       |
|    mimic_body_reward    | 0.0565     |
|    mimic_body_vel_re... | 0.00938    |
|    mimic_contact_reward | 0.046      |
|    mimic_ee_reward      | 0.0107     |
|    mimic_qpos_reward    | 0.173      |
|    mimic_qvel_reward    | 0          |
| time/                   |            |
|    fps                  | 362        |
|    iterations           | 16         |
|    time_elapsed         | 180        |
|    total_timesteps      | 65536      |
| train/                  |            |
|    approx_kl            | 0.00703198 |
|    clip_fraction        | 0.0157     |
|    clip_range           | 0.2        |
|    entropy_loss         | 4.38       |
|    explained_variance   | -164       |
|    learning_rate        | 1e-05      |
|    loss                 | 2.16       |
|    n_updates            | 45         |
|    policy_gradient_loss | -0.00661   |
|    std                  | 0.2        |
|    value_loss           | 5.02       |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 24.8        |
|    ep_reward_mean       | 8.34        |
|    mimic_body_reward    | 0.0643      |
|    mimic_body_vel_re... | 0.00757     |
|    mimic_contact_reward | 0.052       |
