--------------------------------------
| rollout/                |          |
|    ep_len_mean          | 21.6     |
|    ep_reward_mean       | 7.11     |
|    mimic_body_reward    | 0.0482   |
|    mimic_body_vel_re... | 0.00711  |
|    mimic_contact_reward | 0.018    |
|    mimic_ee_reward      | 0.014    |
|    mimic_qpos_reward    | 0.179    |
|    mimic_qvel_reward    | 0        |
| time/                   |          |
|    fps                  | 294      |
|    iterations           | 1        |
|    time_elapsed         | 13       |
|    total_timesteps      | 4096     |
--------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 21.7        |
|    ep_reward_mean       | 7.4         |
|    mimic_body_reward    | 0.0595      |
|    mimic_body_vel_re... | 0.00709     |
|    mimic_contact_reward | 0.036       |
|    mimic_ee_reward      | 0.0141      |
|    mimic_qpos_reward    | 0.177       |
|    mimic_qvel_reward    | 0           |
| time/                   |             |
|    fps                  | 288         |
|    iterations           | 2           |
|    time_elapsed         | 28          |
|    total_timesteps      | 8192        |
| train/                  |             |
|    approx_kl            | 0.011024181 |
|    clip_fraction        | 0.0342      |
|    clip_range           | 0.2         |
|    entropy_loss         | 4.38        |
|    explained_variance   | -1.58e+05   |
|    learning_rate        | 1e-05       |
|    learning_rate_critic | 0.01        |
|    loss                 | 0.375       |
|    n_updates            | 3           |
|    policy_gradient_loss | -0.00884    |
|    std                  | 0.2         |
|    value_loss           | 1.53        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 21.4         |
|    ep_reward_mean       | 7.25         |
|    mimic_body_reward    | 0.0653       |
|    mimic_body_vel_re... | 0.0136       |
|    mimic_contact_reward | 0.056        |
|    mimic_ee_reward      | 0.0136       |
|    mimic_qpos_reward    | 0.189        |
|    mimic_qvel_reward    | 0            |
| time/                   |              |
|    fps                  | 288          |
|    iterations           | 3            |
|    time_elapsed         | 42           |
|    total_timesteps      | 12288        |
| train/                  |              |
|    approx_kl            | 0.0075386483 |
|    clip_fraction        | 0.0106       |
|    clip_range           | 0.2          |
|    entropy_loss         | 4.38         |
|    explained_variance   | -0.183       |
|    learning_rate        | 1e-05        |
|    learning_rate_critic | 0.01         |
|    loss                 | 0.681        |
|    n_updates            | 6            |
|    policy_gradient_loss | -0.00642     |
|    std                  | 0.2          |
|    value_loss           | 1.33         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 23.2         |
|    ep_reward_mean       | 7.77         |
|    mimic_body_reward    | 0.0687       |
|    mimic_body_vel_re... | 0.006        |
|    mimic_contact_reward | 0.024        |
|    mimic_ee_reward      | 0.0124       |
|    mimic_qpos_reward    | 0.167        |
|    mimic_qvel_reward    | 0            |
| time/                   |              |
|    fps                  | 288          |
|    iterations           | 4            |
|    time_elapsed         | 56           |
|    total_timesteps      | 16384        |
| train/                  |              |
|    approx_kl            | 0.0062184464 |
|    clip_fraction        | 0.02         |
|    clip_range           | 0.2          |
|    entropy_loss         | 4.38         |
|    explained_variance   | 0.458        |
|    learning_rate        | 1e-05        |
|    learning_rate_critic | 0.01         |
|    loss                 | 0.629        |
|    n_updates            | 9            |
|    policy_gradient_loss | -0.00765     |
|    std                  | 0.2          |
|    value_loss           | 1.42         |
------------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 24.6       |
|    ep_reward_mean       | 8.41       |
|    mimic_body_reward    | 0.0834     |
|    mimic_body_vel_re... | 0.0195     |
|    mimic_contact_reward | 0.084      |
|    mimic_ee_reward      | 0.00803    |
|    mimic_qpos_reward    | 0.163      |
|    mimic_qvel_reward    | 0          |
| time/                   |            |
|    fps                  | 287        |
|    iterations           | 5          |
|    time_elapsed         | 71         |
|    total_timesteps      | 20480      |
| train/                  |            |
|    approx_kl            | 0.00436311 |
|    clip_fraction        | 0.0132     |
|    clip_range           | 0.2        |
|    entropy_loss         | 4.38       |
|    explained_variance   | 0.552      |
|    learning_rate        | 1e-05      |
|    learning_rate_critic | 0.01       |
|    loss                 | 0.625      |
|    n_updates            | 12         |
|    policy_gradient_loss | -0.00626   |
|    std                  | 0.2        |
|    value_loss           | 1.48       |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 24          |
|    ep_reward_mean       | 7.93        |
|    mimic_body_reward    | 0.0958      |
|    mimic_body_vel_re... | 0.0127      |
|    mimic_contact_reward | 0.052       |
|    mimic_ee_reward      | 0.0165      |
|    mimic_qpos_reward    | 0.198       |
|    mimic_qvel_reward    | 0           |
| time/                   |             |
|    fps                  | 287         |
|    iterations           | 6           |
|    time_elapsed         | 85          |
|    total_timesteps      | 24576       |
| train/                  |             |
|    approx_kl            | 0.010659097 |
|    clip_fraction        | 0.0351      |
|    clip_range           | 0.2         |
|    entropy_loss         | 4.38        |
|    explained_variance   | 0.444       |
|    learning_rate        | 1e-05       |
|    learning_rate_critic | 0.01        |
|    loss                 | 0.671       |
|    n_updates            | 15          |
|    policy_gradient_loss | -0.0088     |
|    std                  | 0.2         |
|    value_loss           | 1.69        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 23.7         |
|    ep_reward_mean       | 7.8          |
|    mimic_body_reward    | 0.0792       |
|    mimic_body_vel_re... | 0.00891      |
|    mimic_contact_reward | 0.036        |
|    mimic_ee_reward      | 0.0163       |
|    mimic_qpos_reward    | 0.173        |
|    mimic_qvel_reward    | 0            |
| time/                   |              |
|    fps                  | 285          |
|    iterations           | 7            |
|    time_elapsed         | 100          |
|    total_timesteps      | 28672        |
| train/                  |              |
|    approx_kl            | 0.0060808314 |
|    clip_fraction        | 0.0165       |
|    clip_range           | 0.2          |
|    entropy_loss         | 4.38         |
|    explained_variance   | 0.601        |
|    learning_rate        | 1e-05        |
|    learning_rate_critic | 0.01         |
|    loss                 | 0.709        |
|    n_updates            | 18           |
|    policy_gradient_loss | -0.00642     |
|    std                  | 0.2          |
|    value_loss           | 1.53         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 24           |
|    ep_reward_mean       | 8.03         |
|    mimic_body_reward    | 0.0612       |
|    mimic_body_vel_re... | 0.00761      |
|    mimic_contact_reward | 0.032        |
|    mimic_ee_reward      | 0.0108       |
|    mimic_qpos_reward    | 0.179        |
|    mimic_qvel_reward    | 0            |
| time/                   |              |
|    fps                  | 286          |
|    iterations           | 8            |
|    time_elapsed         | 114          |
|    total_timesteps      | 32768        |
| train/                  |              |
|    approx_kl            | 0.0057317913 |
|    clip_fraction        | 0.0144       |
|    clip_range           | 0.2          |
|    entropy_loss         | 4.38         |
|    explained_variance   | 0.59         |
|    learning_rate        | 1e-05        |
|    learning_rate_critic | 0.01         |
|    loss                 | 0.815        |
|    n_updates            | 21           |
|    policy_gradient_loss | -0.00708     |
|    std                  | 0.2          |
|    value_loss           | 1.55         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 23.7         |
|    ep_reward_mean       | 8.12         |
|    mimic_body_reward    | 0.0689       |
|    mimic_body_vel_re... | 0.00529      |
|    mimic_contact_reward | 0.04         |
|    mimic_ee_reward      | 0.0165       |
|    mimic_qpos_reward    | 0.185        |
|    mimic_qvel_reward    | 0            |
| time/                   |              |
|    fps                  | 285          |
|    iterations           | 9            |
|    time_elapsed         | 128          |
|    total_timesteps      | 36864        |
| train/                  |              |
|    approx_kl            | 0.0049891914 |
|    clip_fraction        | 0.00741      |
|    clip_range           | 0.2          |
|    entropy_loss         | 4.38         |
|    explained_variance   | 0.595        |
|    learning_rate        | 1e-05        |
|    learning_rate_critic | 0.01         |
|    loss                 | 0.9          |
|    n_updates            | 24           |
|    policy_gradient_loss | -0.00595     |
|    std                  | 0.2          |
|    value_loss           | 1.59         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 25.2         |
|    ep_reward_mean       | 8.29         |
|    mimic_body_reward    | 0.0497       |
|    mimic_body_vel_re... | 0.0057       |
|    mimic_contact_reward | 0.04         |
|    mimic_ee_reward      | 0.00695      |
|    mimic_qpos_reward    | 0.173        |
|    mimic_qvel_reward    | 0            |
| time/                   |              |
|    fps                  | 285          |
|    iterations           | 10           |
|    time_elapsed         | 143          |
|    total_timesteps      | 40960        |
| train/                  |              |
|    approx_kl            | 0.0038937824 |
|    clip_fraction        | 0.0202       |
|    clip_range           | 0.2          |
|    entropy_loss         | 4.38         |
|    explained_variance   | 0.635        |
|    learning_rate        | 1e-05        |
|    learning_rate_critic | 0.01         |
|    loss                 | 0.786        |
|    n_updates            | 27           |
|    policy_gradient_loss | -0.00707     |
|    std                  | 0.2          |
|    value_loss           | 1.51         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 26.8         |
|    ep_reward_mean       | 8.8          |
|    mimic_body_reward    | 0.0531       |
|    mimic_body_vel_re... | 0.00985      |
|    mimic_contact_reward | 0.036        |
|    mimic_ee_reward      | 0.0118       |
|    mimic_qpos_reward    | 0.188        |
|    mimic_qvel_reward    | 0            |
| time/                   |              |
|    fps                  | 285          |
|    iterations           | 11           |
|    time_elapsed         | 157          |
|    total_timesteps      | 45056        |
| train/                  |              |
|    approx_kl            | 0.0075531644 |
|    clip_fraction        | 0.0201       |
|    clip_range           | 0.2          |
|    entropy_loss         | 4.38         |
|    explained_variance   | 0.576        |
|    learning_rate        | 1e-05        |
|    learning_rate_critic | 0.01         |
|    loss                 | 0.527        |
|    n_updates            | 30           |
|    policy_gradient_loss | -0.00774     |
|    std                  | 0.2          |
|    value_loss           | 1.56         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 25.6         |
|    ep_reward_mean       | 8.51         |
|    mimic_body_reward    | 0.0984       |
|    mimic_body_vel_re... | 0.0135       |
|    mimic_contact_reward | 0.058        |
|    mimic_ee_reward      | 0.0135       |
|    mimic_qpos_reward    | 0.192        |
|    mimic_qvel_reward    | 0            |
| time/                   |              |
|    fps                  | 285          |
|    iterations           | 12           |
|    time_elapsed         | 172          |
|    total_timesteps      | 49152        |
| train/                  |              |
|    approx_kl            | 0.0062666037 |
|    clip_fraction        | 0.0247       |
|    clip_range           | 0.2          |
|    entropy_loss         | 4.38         |
|    explained_variance   | 0.623        |
|    learning_rate        | 1e-05        |
|    learning_rate_critic | 0.01         |
|    loss                 | 0.768        |
|    n_updates            | 33           |
|    policy_gradient_loss | -0.00825     |
|    std                  | 0.2          |
|    value_loss           | 1.59         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 25.6         |
|    ep_reward_mean       | 8.51         |
|    mimic_body_reward    | 0.0695       |
|    mimic_body_vel_re... | 0.00974      |
|    mimic_contact_reward | 0.032        |
|    mimic_ee_reward      | 0.0124       |
|    mimic_qpos_reward    | 0.17         |
|    mimic_qvel_reward    | 0            |
| time/                   |              |
|    fps                  | 285          |
|    iterations           | 13           |
|    time_elapsed         | 186          |
|    total_timesteps      | 53248        |
| train/                  |              |
|    approx_kl            | 0.0041071447 |
|    clip_fraction        | 0.0154       |
|    clip_range           | 0.2          |
|    entropy_loss         | 4.38         |
|    explained_variance   | 0.597        |
|    learning_rate        | 1e-05        |
|    learning_rate_critic | 0.01         |
|    loss                 | 0.901        |
|    n_updates            | 36           |
|    policy_gradient_loss | -0.00655     |
|    std                  | 0.2          |
|    value_loss           | 1.7          |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 25.9         |
|    ep_reward_mean       | 8.65         |
|    mimic_body_reward    | 0.0777       |
|    mimic_body_vel_re... | 0.00932      |
|    mimic_contact_reward | 0.044        |
|    mimic_ee_reward      | 0.0162       |
|    mimic_qpos_reward    | 0.184        |
|    mimic_qvel_reward    | 0            |
| time/                   |              |
|    fps                  | 285          |
|    iterations           | 14           |
|    time_elapsed         | 200          |
|    total_timesteps      | 57344        |
| train/                  |              |
|    approx_kl            | 0.0051029287 |
|    clip_fraction        | 0.00529      |
|    clip_range           | 0.2          |
|    entropy_loss         | 4.38         |
|    explained_variance   | 0.581        |
|    learning_rate        | 1e-05        |
|    learning_rate_critic | 0.01         |
|    loss                 | 0.924        |
|    n_updates            | 39           |
|    policy_gradient_loss | -0.00565     |
|    std                  | 0.2          |
|    value_loss           | 1.83         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 26.4         |
|    ep_reward_mean       | 8.71         |
|    mimic_body_reward    | 0.07         |
|    mimic_body_vel_re... | 0.0136       |
|    mimic_contact_reward | 0.054        |
|    mimic_ee_reward      | 0.0191       |
|    mimic_qpos_reward    | 0.195        |
|    mimic_qvel_reward    | 0            |
| time/                   |              |
|    fps                  | 285          |
|    iterations           | 15           |
|    time_elapsed         | 215          |
|    total_timesteps      | 61440        |
| train/                  |              |
|    approx_kl            | 0.0024884548 |
|    clip_fraction        | 0.00195      |
|    clip_range           | 0.2          |
|    entropy_loss         | 4.38         |
|    explained_variance   | 0.579        |
|    learning_rate        | 1e-05        |
|    learning_rate_critic | 0.01         |
|    loss                 | 1.01         |
|    n_updates            | 42           |
|    policy_gradient_loss | -0.00488     |
|    std                  | 0.2          |
|    value_loss           | 1.85         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 27.4         |
|    ep_reward_mean       | 8.82         |
|    mimic_body_reward    | 0.0956       |
|    mimic_body_vel_re... | 0.0172       |
|    mimic_contact_reward | 0.056        |
|    mimic_ee_reward      | 0.0114       |
|    mimic_qpos_reward    | 0.175        |
|    mimic_qvel_reward    | 0            |
| time/                   |              |
|    fps                  | 285          |
