--------------------------------------
| rollout/                |          |
|    ep_len_mean          | 21.2     |
|    ep_reward_mean       | 7.26     |
|    mimic_body_reward    | 0.0856   |
|    mimic_body_vel_re... | 0.00919  |
|    mimic_contact_reward | 0.05     |
|    mimic_ee_reward      | 0.0166   |
|    mimic_qpos_reward    | 0.196    |
|    mimic_qvel_reward    | 0        |
| time/                   |          |
|    fps                  | 277      |
|    iterations           | 1        |
|    time_elapsed         | 14       |
|    total_timesteps      | 4096     |
--------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 21.7        |
|    ep_reward_mean       | 7.24        |
|    mimic_body_reward    | 0.0999      |
|    mimic_body_vel_re... | 0.0197      |
|    mimic_contact_reward | 0.05        |
|    mimic_ee_reward      | 0.0149      |
|    mimic_qpos_reward    | 0.185       |
|    mimic_qvel_reward    | 0           |
| time/                   |             |
|    fps                  | 276         |
|    iterations           | 2           |
|    time_elapsed         | 29          |
|    total_timesteps      | 8192        |
| train/                  |             |
|    approx_kl            | 0.008129502 |
|    clip_fraction        | 0.0277      |
|    clip_range           | 0.2         |
|    entropy_loss         | 4.38        |
|    explained_variance   | -1.09e+05   |
|    learning_rate        | 1e-05       |
|    loss                 | 3.36        |
|    n_updates            | 3           |
|    policy_gradient_loss | -0.00826    |
|    std                  | 0.2         |
|    value_loss           | 6.14        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 22.3        |
|    ep_reward_mean       | 7.48        |
|    mimic_body_reward    | 0.0697      |
|    mimic_body_vel_re... | 0.00788     |
|    mimic_contact_reward | 0.042       |
|    mimic_ee_reward      | 0.00915     |
|    mimic_qpos_reward    | 0.169       |
|    mimic_qvel_reward    | 0           |
| time/                   |             |
|    fps                  | 276         |
|    iterations           | 3           |
|    time_elapsed         | 44          |
|    total_timesteps      | 12288       |
| train/                  |             |
|    approx_kl            | 0.012911727 |
|    clip_fraction        | 0.0281      |
|    clip_range           | 0.2         |
|    entropy_loss         | 4.38        |
|    explained_variance   | -6.12e+04   |
|    learning_rate        | 1e-05       |
|    loss                 | 2.54        |
|    n_updates            | 6           |
|    policy_gradient_loss | -0.00817    |
|    std                  | 0.2         |
|    value_loss           | 6.03        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 22.5        |
|    ep_reward_mean       | 7.47        |
|    mimic_body_reward    | 0.0532      |
|    mimic_body_vel_re... | 0.0112      |
|    mimic_contact_reward | 0.054       |
|    mimic_ee_reward      | 0.0136      |
|    mimic_qpos_reward    | 0.187       |
|    mimic_qvel_reward    | 0           |
| time/                   |             |
|    fps                  | 274         |
|    iterations           | 4           |
|    time_elapsed         | 59          |
|    total_timesteps      | 16384       |
| train/                  |             |
|    approx_kl            | 0.005818924 |
|    clip_fraction        | 0.00749     |
|    clip_range           | 0.2         |
|    entropy_loss         | 4.38        |
|    explained_variance   | -1.89e+04   |
|    learning_rate        | 1e-05       |
|    loss                 | 2.94        |
|    n_updates            | 9           |
|    policy_gradient_loss | -0.00554    |
|    std                  | 0.2         |
|    value_loss           | 6.07        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 22.7        |
|    ep_reward_mean       | 7.6         |
|    mimic_body_reward    | 0.0514      |
|    mimic_body_vel_re... | 0.00695     |
|    mimic_contact_reward | 0.04        |
|    mimic_ee_reward      | 0.0126      |
|    mimic_qpos_reward    | 0.178       |
|    mimic_qvel_reward    | 0           |
| time/                   |             |
|    fps                  | 274         |
|    iterations           | 5           |
|    time_elapsed         | 74          |
|    total_timesteps      | 20480       |
| train/                  |             |
|    approx_kl            | 0.009539016 |
|    clip_fraction        | 0.0183      |
|    clip_range           | 0.2         |
|    entropy_loss         | 4.38        |
|    explained_variance   | -8.33e+03   |
