--------------------------------------
| rollout/                |          |
|    ep_len_mean          | 26.5     |
|    ep_reward_mean       | 7.23     |
|    mimic_body_reward    | 0.0597   |
|    mimic_body_vel_re... | 5.06e-05 |
|    mimic_contact_reward | 0.09     |
|    mimic_ee_reward      | 0        |
|    mimic_qpos_reward    | 0.151    |
|    mimic_qvel_reward    | 0        |
| time/                   |          |
|    fps                  | 407      |
|    iterations           | 1        |
|    time_elapsed         | 10       |
|    total_timesteps      | 4096     |
--------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 24.3        |
|    ep_reward_mean       | 6.74        |
|    mimic_body_reward    | 0.0485      |
|    mimic_body_vel_re... | 0.000873    |
|    mimic_contact_reward | 0.084       |
|    mimic_ee_reward      | 0           |
|    mimic_qpos_reward    | 0.133       |
|    mimic_qvel_reward    | 0           |
| time/                   |             |
|    fps                  | 401         |
|    iterations           | 2           |
|    time_elapsed         | 20          |
|    total_timesteps      | 8192        |
| train/                  |             |
|    approx_kl            | 0.004861946 |
|    clip_fraction        | 0.0142      |
|    clip_range           | 0.2         |
|    entropy_loss         | 4.38        |
|    explained_variance   | -1.74e+05   |
|    learning_rate        | 1e-05       |
|    loss                 | 2.02        |
|    n_updates            | 3           |
|    policy_gradient_loss | -0.00716    |
|    std                  | 0.2         |
|    value_loss           | 4.93        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 25.1        |
|    ep_reward_mean       | 6.87        |
|    mimic_body_reward    | 0.033       |
|    mimic_body_vel_re... | 0.000247    |
|    mimic_contact_reward | 0.074       |
|    mimic_ee_reward      | 0           |
|    mimic_qpos_reward    | 0.126       |
|    mimic_qvel_reward    | 0           |
| time/                   |             |
|    fps                  | 397         |
|    iterations           | 3           |
|    time_elapsed         | 30          |
|    total_timesteps      | 12288       |
| train/                  |             |
|    approx_kl            | 0.003760044 |
|    clip_fraction        | 0.00537     |
|    clip_range           | 0.2         |
|    entropy_loss         | 4.38        |
|    explained_variance   | -6.05e+04   |
|    learning_rate        | 1e-05       |
|    loss                 | 2.05        |
|    n_updates            | 6           |
|    policy_gradient_loss | -0.0058     |
|    std                  | 0.2         |
|    value_loss           | 4.41        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 25.6         |
|    ep_reward_mean       | 7            |
|    mimic_body_reward    | 0.0286       |
|    mimic_body_vel_re... | 0.00103      |
|    mimic_contact_reward | 0.08         |
|    mimic_ee_reward      | 0            |
|    mimic_qpos_reward    | 0.14         |
|    mimic_qvel_reward    | 0            |
| time/                   |              |
|    fps                  | 396          |
|    iterations           | 4            |
|    time_elapsed         | 41           |
|    total_timesteps      | 16384        |
| train/                  |              |
|    approx_kl            | 0.0034888857 |
|    clip_fraction        | 0.00537      |
|    clip_range           | 0.2          |
|    entropy_loss         | 4.38         |
|    explained_variance   | -2.25e+04    |
|    learning_rate        | 1e-05        |
|    loss                 | 2.65         |
|    n_updates            | 9            |
|    policy_gradient_loss | -0.00509     |
|    std                  | 0.2          |
|    value_loss           | 4.7          |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 25.8         |
|    ep_reward_mean       | 6.99         |
|    mimic_body_reward    | 0.0552       |
|    mimic_body_vel_re... | 0.000911     |
|    mimic_contact_reward | 0.078        |
|    mimic_ee_reward      | 0            |
|    mimic_qpos_reward    | 0.159        |
|    mimic_qvel_reward    | 0            |
| time/                   |              |
|    fps                  | 396          |
|    iterations           | 5            |
|    time_elapsed         | 51           |
|    total_timesteps      | 20480        |
| train/                  |              |
|    approx_kl            | 0.0056681843 |
|    clip_fraction        | 0.0133       |
|    clip_range           | 0.2          |
|    entropy_loss         | 4.38         |
|    explained_variance   | -1.01e+04    |
|    learning_rate        | 1e-05        |
|    loss                 | 2.63         |
|    n_updates            | 12           |
|    policy_gradient_loss | -0.00607     |
|    std                  | 0.2          |
|    value_loss           | 4.53         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 24.9         |
|    ep_reward_mean       | 6.86         |
|    mimic_body_reward    | 0.0445       |
|    mimic_body_vel_re... | 0.0042       |
|    mimic_contact_reward | 0.096        |
|    mimic_ee_reward      | 0            |
|    mimic_qpos_reward    | 0.127        |
|    mimic_qvel_reward    | 0            |
| time/                   |              |
|    fps                  | 396          |
|    iterations           | 6            |
|    time_elapsed         | 61           |
|    total_timesteps      | 24576        |
| train/                  |              |
|    approx_kl            | 0.0057607815 |
|    clip_fraction        | 0.0122       |
|    clip_range           | 0.2          |
|    entropy_loss         | 4.38         |
|    explained_variance   | -5.33e+03    |
|    learning_rate        | 1e-05        |
|    loss                 | 2.29         |
|    n_updates            | 15           |
|    policy_gradient_loss | -0.00657     |
|    std                  | 0.2          |
|    value_loss           | 4.52         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 26.7         |
|    ep_reward_mean       | 7.45         |
|    mimic_body_reward    | 0.0596       |
|    mimic_body_vel_re... | 0.00161      |
|    mimic_contact_reward | 0.082        |
|    mimic_ee_reward      | 0            |
|    mimic_qpos_reward    | 0.137        |
|    mimic_qvel_reward    | 0            |
| time/                   |              |
|    fps                  | 396          |
|    iterations           | 7            |
|    time_elapsed         | 72           |
|    total_timesteps      | 28672        |
| train/                  |              |
|    approx_kl            | 0.0015828196 |
|    clip_fraction        | 0.0101       |
