2020-12-23 13:39:10,443 INFO    MainThread:30375 [wandb_setup.py:_flush():70] setting env: {}
2020-12-23 13:39:10,444 INFO    MainThread:30375 [wandb_setup.py:_flush():70] multiprocessing start_methods=fork,spawn,forkserver
2020-12-23 13:39:10,444 INFO    MainThread:30375 [wandb_setup.py:_flush():70] setting login settings: {}
2020-12-23 13:39:10,444 INFO    MainThread:30375 [wandb_init.py:_log_setup():303] Logging user logs to /home/kim/torch_mimic/wandb/run-20201223_133910-lfp5vhgi/logs/debug.log
2020-12-23 13:39:10,444 INFO    MainThread:30375 [wandb_init.py:_log_setup():304] Logging internal logs to /home/kim/torch_mimic/wandb/run-20201223_133910-lfp5vhgi/logs/debug-internal.log
2020-12-23 13:39:11,725 INFO    MainThread:30375 [wandb_run.py:_console_start():1237] atexit reg
2020-12-23 13:39:11,725 INFO    MainThread:30375 [wandb_run.py:_redirect():1104] redirect: SettingsConsole.REDIRECT
2020-12-23 13:39:11,726 INFO    MainThread:30375 [wandb_run.py:_redirect():1107] Redirecting console.
2020-12-23 13:39:11,726 INFO    MainThread:30375 [redirect.py:install():204] install start
2020-12-23 13:39:11,727 INFO    MainThread:30375 [redirect.py:install():219] install stop
2020-12-23 13:39:11,727 INFO    MainThread:30375 [redirect.py:install():204] install start
2020-12-23 13:39:11,727 INFO    MainThread:30375 [redirect.py:install():219] install stop
2020-12-23 13:39:11,727 INFO    MainThread:30375 [wandb_run.py:_redirect():1151] Redirects installed.
