--------------------------------------
| rollout/                |          |
|    ep_len_mean          | 22.4     |
|    ep_reward_mean       | 11.3     |
|    mimic_body_orient... | 0.0227   |
|    mimic_body_reward    | 0.129    |
|    mimic_body_vel_re... | 0.00468  |
|    mimic_contact_reward | 0.016    |
|    mimic_qpos_reward    | 0.281    |
|    mimic_qvel_reward    | 0        |
| time/                   |          |
|    fps                  | 417      |
|    iterations           | 1        |
|    time_elapsed         | 9        |
|    total_timesteps      | 4096     |
--------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 22.6       |
|    ep_reward_mean       | 11.4       |
|    mimic_body_orient... | 0.0161     |
|    mimic_body_reward    | 0.14       |
|    mimic_body_vel_re... | 0.00866    |
|    mimic_contact_reward | 0.04       |
|    mimic_qpos_reward    | 0.26       |
|    mimic_qvel_reward    | 0          |
| time/                   |            |
|    fps                  | 411        |
|    iterations           | 2          |
|    time_elapsed         | 19         |
|    total_timesteps      | 8192       |
| train/                  |            |
|    approx_kl            | 0.00593891 |
|    clip_fraction        | 0.0138     |
|    clip_range           | 0.2        |
|    entropy_loss         | 4.38       |
|    explained_variance   | -5.29e+05  |
|    learning_rate        | 1e-05      |
|    loss                 | 8.27       |
|    n_updates            | 3          |
|    policy_gradient_loss | -0.00701   |
|    std                  | 0.2        |
|    value_loss           | 16.4       |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 21.4        |
|    ep_reward_mean       | 11          |
|    mimic_body_orient... | 0.0198      |
|    mimic_body_reward    | 0.101       |
|    mimic_body_vel_re... | 0.00745     |
|    mimic_contact_reward | 0.032       |
|    mimic_qpos_reward    | 0.273       |
|    mimic_qvel_reward    | 0           |
| time/                   |             |
|    fps                  | 409         |
|    iterations           | 3           |
|    time_elapsed         | 30          |
|    total_timesteps      | 12288       |
| train/                  |             |
|    approx_kl            | 0.004324343 |
|    clip_fraction        | 0.00578     |
|    clip_range           | 0.2         |
|    entropy_loss         | 4.38        |
|    explained_variance   | -1.03e+05   |
|    learning_rate        | 1e-05       |
|    loss                 | 8.31        |
|    n_updates            | 6           |
|    policy_gradient_loss | -0.00513    |
|    std                  | 0.2         |
|    value_loss           | 16.3        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 22.5        |
|    ep_reward_mean       | 11.4        |
|    mimic_body_orient... | 0.0262      |
|    mimic_body_reward    | 0.132       |
|    mimic_body_vel_re... | 0.00655     |
|    mimic_contact_reward | 0.032       |
|    mimic_qpos_reward    | 0.28        |
|    mimic_qvel_reward    | 0           |
| time/                   |             |
|    fps                  | 408         |
|    iterations           | 4           |
|    time_elapsed         | 40          |
|    total_timesteps      | 16384       |
| train/                  |             |
|    approx_kl            | 0.008336389 |
|    clip_fraction        | 0.00944     |
|    clip_range           | 0.2         |
|    entropy_loss         | 4.38        |
|    explained_variance   | -2.94e+04   |
|    learning_rate        | 1e-05       |
|    loss                 | 7.6         |
|    n_updates            | 9           |
|    policy_gradient_loss | -0.00625    |
|    std                  | 0.2         |
|    value_loss           | 15.8        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 21.9        |
|    ep_reward_mean       | 11.2        |
|    mimic_body_orient... | 0.021       |
|    mimic_body_reward    | 0.144       |
|    mimic_body_vel_re... | 0.00874     |
|    mimic_contact_reward | 0.038       |
|    mimic_qpos_reward    | 0.265       |
|    mimic_qvel_reward    | 0           |
| time/                   |             |
|    fps                  | 407         |
|    iterations           | 5           |
|    time_elapsed         | 50          |
|    total_timesteps      | 20480       |
| train/                  |             |
|    approx_kl            | 0.009142854 |
|    clip_fraction        | 0.012       |
|    clip_range           | 0.2         |
|    entropy_loss         | 4.38        |
|    explained_variance   | -1.49e+04   |
|    learning_rate        | 1e-05       |
|    loss                 | 7.94        |
|    n_updates            | 12          |
|    policy_gradient_loss | -0.00657    |
|    std                  | 0.2         |
|    value_loss           | 16.1        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 22.2        |
|    ep_reward_mean       | 11.2        |
|    mimic_body_orient... | 0.0271      |
|    mimic_body_reward    | 0.142       |
|    mimic_body_vel_re... | 0.00777     |
|    mimic_contact_reward | 0.042       |
|    mimic_qpos_reward    | 0.272       |
|    mimic_qvel_reward    | 0           |
| time/                   |             |
|    fps                  | 405         |
|    iterations           | 6           |
|    time_elapsed         | 60          |
|    total_timesteps      | 24576       |
| train/                  |             |
|    approx_kl            | 0.008077374 |
|    clip_fraction        | 0.0164      |
|    clip_range           | 0.2         |
|    entropy_loss         | 4.38        |
|    explained_variance   | -7.03e+03   |
|    learning_rate        | 1e-05       |
|    loss                 | 8.13        |
|    n_updates            | 15          |
|    policy_gradient_loss | -0.00666    |
|    std                  | 0.2         |
|    value_loss           | 15.8        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 23.4         |
|    ep_reward_mean       | 12           |
|    mimic_body_orient... | 0.0125       |
|    mimic_body_reward    | 0.131        |
|    mimic_body_vel_re... | 0.0099       |
|    mimic_contact_reward | 0.036        |
|    mimic_qpos_reward    | 0.27         |
|    mimic_qvel_reward    | 0            |
| time/                   |              |
|    fps                  | 404          |
|    iterations           | 7            |
|    time_elapsed         | 70           |
|    total_timesteps      | 28672        |
| train/                  |              |
|    approx_kl            | 0.0037772865 |
|    clip_fraction        | 0.00716      |
|    clip_range           | 0.2          |
|    entropy_loss         | 4.38         |
|    explained_variance   | -4.5e+03     |
|    learning_rate        | 1e-05        |
|    loss                 | 8.16         |
|    n_updates            | 18           |
|    policy_gradient_loss | -0.0057      |
|    std                  | 0.2          |
|    value_loss           | 16           |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 23.9        |
|    ep_reward_mean       | 12.2        |
|    mimic_body_orient... | 0.0289      |
|    mimic_body_reward    | 0.141       |
|    mimic_body_vel_re... | 0.00947     |
|    mimic_contact_reward | 0.032       |
|    mimic_qpos_reward    | 0.28        |
|    mimic_qvel_reward    | 0           |
| time/                   |             |
|    fps                  | 404         |
|    iterations           | 8           |
|    time_elapsed         | 80          |
|    total_timesteps      | 32768       |
| train/                  |             |
|    approx_kl            | 0.003752151 |
|    clip_fraction        | 0.00228     |
|    clip_range           | 0.2         |
|    entropy_loss         | 4.38        |
|    explained_variance   | -3.09e+03   |
|    learning_rate        | 1e-05       |
|    loss                 | 9.16        |
|    n_updates            | 21          |
|    policy_gradient_loss | -0.00476    |
|    std                  | 0.2         |
|    value_loss           | 16.7        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 22           |
|    ep_reward_mean       | 11.2         |
|    mimic_body_orient... | 0.0186       |
|    mimic_body_reward    | 0.14         |
|    mimic_body_vel_re... | 0.00962      |
|    mimic_contact_reward | 0.042        |
|    mimic_qpos_reward    | 0.289        |
|    mimic_qvel_reward    | 0            |
| time/                   |              |
|    fps                  | 404          |
|    iterations           | 9            |
|    time_elapsed         | 91           |
|    total_timesteps      | 36864        |
| train/                  |              |
|    approx_kl            | 0.0035986009 |
|    clip_fraction        | 0.00618      |
|    clip_range           | 0.2          |
|    entropy_loss         | 4.38         |
|    explained_variance   | -1.97e+03    |
|    learning_rate        | 1e-05        |
|    loss                 | 8.81         |
|    n_updates            | 24           |
|    policy_gradient_loss | -0.00596     |
|    std                  | 0.2          |
|    value_loss           | 16.9         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 23           |
|    ep_reward_mean       | 11.7         |
|    mimic_body_orient... | 0.0211       |
|    mimic_body_reward    | 0.147        |
|    mimic_body_vel_re... | 0.0126       |
|    mimic_contact_reward | 0.05         |
|    mimic_qpos_reward    | 0.282        |
|    mimic_qvel_reward    | 0            |
| time/                   |              |
|    fps                  | 404          |
|    iterations           | 10           |
|    time_elapsed         | 101          |
|    total_timesteps      | 40960        |
| train/                  |              |
|    approx_kl            | 0.0035744617 |
|    clip_fraction        | 0.00106      |
|    clip_range           | 0.2          |
|    entropy_loss         | 4.38         |
|    explained_variance   | -1.36e+03    |
|    learning_rate        | 1e-05        |
|    loss                 | 8.34         |
|    n_updates            | 27           |
|    policy_gradient_loss | -0.00405     |
|    std                  | 0.2          |
|    value_loss           | 15.1         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 23.7         |
|    ep_reward_mean       | 12.1         |
|    mimic_body_orient... | 0.0111       |
|    mimic_body_reward    | 0.127        |
|    mimic_body_vel_re... | 0.00666      |
|    mimic_contact_reward | 0.014        |
|    mimic_qpos_reward    | 0.268        |
|    mimic_qvel_reward    | 0            |
| time/                   |              |
|    fps                  | 404          |
|    iterations           | 11           |
|    time_elapsed         | 111          |
|    total_timesteps      | 45056        |
| train/                  |              |
|    approx_kl            | 0.0034495157 |
|    clip_fraction        | 0.00846      |
|    clip_range           | 0.2          |
|    entropy_loss         | 4.38         |
|    explained_variance   | -1.01e+03    |
|    learning_rate        | 1e-05        |
|    loss                 | 6.64         |
|    n_updates            | 30           |
|    policy_gradient_loss | -0.00581     |
|    std                  | 0.2          |
|    value_loss           | 15.6         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 23.3         |
|    ep_reward_mean       | 11.7         |
|    mimic_body_orient... | 0.0147       |
|    mimic_body_reward    | 0.141        |
|    mimic_body_vel_re... | 0.00993      |
|    mimic_contact_reward | 0.05         |
|    mimic_qpos_reward    | 0.267        |
|    mimic_qvel_reward    | 0            |
| time/                   |              |
|    fps                  | 404          |
|    iterations           | 12           |
|    time_elapsed         | 121          |
