2020-12-24 11:39:41,930 INFO    MainThread:10709 [wandb_setup.py:_flush():70] setting env: {}
2020-12-24 11:39:41,931 INFO    MainThread:10709 [wandb_setup.py:_flush():70] multiprocessing start_methods=fork,spawn,forkserver
2020-12-24 11:39:41,931 INFO    MainThread:10709 [wandb_setup.py:_flush():70] setting login settings: {}
2020-12-24 11:39:41,931 INFO    MainThread:10709 [wandb_init.py:_log_setup():303] Logging user logs to /home/kim/torch_mimic/wandb/run-20201224_113941-vt8gehgg/logs/debug.log
2020-12-24 11:39:41,931 INFO    MainThread:10709 [wandb_init.py:_log_setup():304] Logging internal logs to /home/kim/torch_mimic/wandb/run-20201224_113941-vt8gehgg/logs/debug-internal.log
2020-12-24 11:39:43,059 INFO    MainThread:10709 [wandb_run.py:_console_start():1237] atexit reg
2020-12-24 11:39:43,059 INFO    MainThread:10709 [wandb_run.py:_redirect():1104] redirect: SettingsConsole.REDIRECT
2020-12-24 11:39:43,060 INFO    MainThread:10709 [wandb_run.py:_redirect():1107] Redirecting console.
2020-12-24 11:39:43,060 INFO    MainThread:10709 [redirect.py:install():204] install start
2020-12-24 11:39:43,061 INFO    MainThread:10709 [redirect.py:install():219] install stop
2020-12-24 11:39:43,061 INFO    MainThread:10709 [redirect.py:install():204] install start
2020-12-24 11:39:43,061 INFO    MainThread:10709 [redirect.py:install():219] install stop
2020-12-24 11:39:43,061 INFO    MainThread:10709 [wandb_run.py:_redirect():1151] Redirects installed.
