--------------------------------------
| rollout/                |          |
|    ep_len_mean          | 25.5     |
|    ep_reward_mean       | 7.11     |
|    mimic_body_reward    | 0.0334   |
|    mimic_body_vel_re... | 0.000737 |
|    mimic_contact_reward | 0.088    |
|    mimic_ee_reward      | 0        |
|    mimic_qpos_reward    | 0.132    |
|    mimic_qvel_reward    | 0        |
| time/                   |          |
|    fps                  | 347      |
|    iterations           | 1        |
|    time_elapsed         | 11       |
|    total_timesteps      | 4096     |
--------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 25.3         |
|    ep_reward_mean       | 6.97         |
|    mimic_body_reward    | 0.0253       |
|    mimic_body_vel_re... | 0.000836     |
|    mimic_contact_reward | 0.072        |
|    mimic_ee_reward      | 0            |
|    mimic_qpos_reward    | 0.124        |
|    mimic_qvel_reward    | 0            |
| time/                   |              |
|    fps                  | 359          |
|    iterations           | 2            |
|    time_elapsed         | 22           |
|    total_timesteps      | 8192         |
| train/                  |              |
|    approx_kl            | 0.0033547063 |
|    clip_fraction        | 0.0246       |
|    clip_range           | 0.2          |
|    entropy_loss         | 4.38         |
|    explained_variance   | -2.5e+05     |
|    learning_rate        | 1e-05        |
|    loss                 | 2.46         |
|    n_updates            | 3            |
|    policy_gradient_loss | -0.00897     |
|    std                  | 0.2          |
|    value_loss           | 4.85         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 25.3         |
|    ep_reward_mean       | 6.73         |
|    mimic_body_reward    | 0.0742       |
|    mimic_body_vel_re... | 0.000541     |
|    mimic_contact_reward | 0.082        |
|    mimic_ee_reward      | 0            |
|    mimic_qpos_reward    | 0.154        |
|    mimic_qvel_reward    | 0            |
| time/                   |              |
|    fps                  | 364          |
|    iterations           | 3            |
|    time_elapsed         | 33           |
|    total_timesteps      | 12288        |
| train/                  |              |
|    approx_kl            | 0.0015431681 |
|    clip_fraction        | 0.00854      |
|    clip_range           | 0.2          |
|    entropy_loss         | 4.38         |
|    explained_variance   | -6.18e+04    |
|    learning_rate        | 1e-05        |
|    loss                 | 2.24         |
|    n_updates            | 6            |
